douban_score,publisher,douban_votes,name,authors
8.1, 上海文艺出版社,557,空响炮,
7.8, 上海译文出版社,8651,情人,"[法]
            玛格丽特·杜拉斯"
8.0, 中国工人出版社,8388,丰乳肥臀,莫言
8.2, 北京联合出版公司,2209,清明上河图密码5,读客
8.5, 湖南人民出版社,1113,庶女·明兰传1,庶女·明兰传
8.0, 湖南文艺出版社,546,古董局中局1,博集天卷
9.1, 新星出版社,5104,霸王别姬,李碧华
9.2, 人民文学出版社,8520,围城,
7.6, 南海出版公司,19095,单恋,"[日]
            东野圭吾"
8.5, 北京联合出版公司,3447,葡萄牙的高山,"[加拿大]
            扬·马特尔"
7.6, 浙江文艺出版社,3892,克苏鲁神话,果麦文化
8.0, 九州出版社,1555,牛蛙,胡迁
8.8, 北京十月文艺出版社,8323,过于喧嚣的孤独,新经典文化
8.8, 南海出版公司,10164,情书,"[日]
            岩井俊二"
7.1, 南海出版公司,9422,假面饭店,"[日]
            东野圭吾"
7.9, 长江文艺出版社,51303,西决,笛安
8.2, 人民文学出版社,14611,洗澡,杨绛
6.5, 长江文艺出版社,64724,小时代1.0折纸时代,郭敬明
9.5, 江苏凤凰文艺出版社,1613,银河帝国：基地七部曲,读客全球顶级畅销小说文库：阿西莫夫作品
8.8, 机械工业出版社,3660,当尼采哭泣,心理学大师
7.6, 中国青年出版社,4282,红岩,罗广斌
7.8, 南海出版公司,5879,圣女的救济,"[日]
            东野圭吾"
7.6, 南海出版公司,8797,从前我死去的家,"[日]
            东野圭吾"
8.1, 上海译文出版社,21143,寻羊冒险记,"[日]
            村上春树"
9.0, 南海出版公司,3500,白夜行,新经典文库·东野圭吾作品
9.0, 时代文艺出版社,9566,绿毛水怪,王小波
8.0, 南海出版公司,25624,偷书贼,"[澳]
            马克斯·苏萨克"
7.9, 上海文艺出版社,15456,蛙,莫言
7.5, 江苏文艺出版社,13693,香蜜沉沉烬如霜,电线
7.7, 人民文学出版社,11491,童年,"[苏联]
            马克西姆·高尔基"
7.8, 译林出版社,46161,芒果街上的小屋,"[美]
            桑德拉·希斯内罗丝"
7.3, 青岛出版社,6872,情人,"[日]
            渡边淳一"
8.9, 漓江出版社,6579,故事新编,鲁迅作品集
7.9, 江苏凤凰文艺出版社,7135,簪中录,侧侧轻寒
8.5, 中国华侨出版社,2451,赡养人类,刘慈欣
8.3, 南海出版公司,87,时间中的孩子,新经典文化
8.3, 武汉出版社,1878,将夜之花开彼岸天,猫腻
9.2, 上海人民出版社,471,西线无战事,"[德]
            埃里希·玛丽亚·雷马克"
7.5, 南海出版公司,8606,谁杀了她,"[日]
            东野圭吾"
8.4, 上海译文出版社,19542,相约星期二,"[美]
            米奇·阿尔博姆"
6.3, 长江文艺出版社,38015,小时代2.0虚铜时代,郭敬明
9.1, 北京燕山出版社,4964,阿城精选集,阿城
8.9, 中国海关出版社,27324,明朝那些事儿（柒）,明朝那些事儿
8.9, 上海译文出版社,49923,百年孤独,"[哥伦比亚]
            加西亚·马尔克斯"
, 中国友谊出版公司,,一切所遇，欢迎光临,
8.1, 上海译文出版社,13388,厨房,"[日]
            吉本芭娜娜"
8.8, 作家出版社,8757,陆犯焉识,"[美]
            严歌苓"
8.7, ？,2734,六爻,
7.8, 北京十月文艺出版社,1537,解密,麦家
9.0, 广西师范大学出版社,1607,孽子,理想国
7.4, 南海出版公司,18425,分身,"[日]
            东野圭吾"
8.8, 中国友谊出版公司,35747,明朝那些事儿（肆）,当年明月
7.7, 译林出版社,10520,格列佛游记,"[英]
            乔纳森·斯威夫特"
8.5, 广西师范大学出版社·理想国,1325,鳄鱼街,"[波兰]
            布鲁诺·舒尔茨"
8.3, 世纪文景 | 上海人民出版社,348,书楼吊堂,世纪文景
9.2, 江苏凤凰文艺出版社,440,孤城闭,
8.4, 人民文学出版社,2222,洗澡,杨绛
8.0, 人民文学出版社,11954,ABC谋杀案,"[英]
            阿加莎·克里斯蒂"
9.2, 上海译文出版社,3133,纳尔齐斯与歌尔德蒙,"[德]
            赫尔曼·黑塞"
7.9, 南海出版公司,4022,礼拜二午睡时刻,"[哥伦比亚]
            加西亚·马尔克斯"
8.3, 人民文学出版社,5189,大卫·科波菲尔（上下）,"[英]
            狄更斯"
8.8, 广西科学技术出版社,104,遇见你之前,果麦文化
7.5, 天地出版社,4361,遗落的南境1：湮灭,狮鹫文学
8.1, 重庆出版社,9723,心理罪,雷米
8.1, 湖南文艺出版社,8472,长相思,桐华
8.1, 春风文艺出版社,6555,扶桑,"[美]
            严歌苓"
8.6, 世纪文景/上海人民出版社,1284,我的名字叫红,世纪文景
8.1, 广西师范大学出版社,9094,爱的教育,"[意]
            亚米契斯"
9.0, 猫头鹰文化·浙江文艺出版社,2026,刀锋,猫头鹰文化（OWL MEDIA）
8.9, 上海译文出版社,6475,不能承受的生命之轻,"[捷克]
            米兰·昆德拉"
8.9, 上海译文出版社,4409,白痴,"[俄]
            费奥多尔·陀思妥耶夫斯基"
9.2, 人民文学出版社,22883,围城,钱钟书
8.5, 南海出版公司,5537,了不起的盖茨比,新经典文库·桂冠文丛
9.1, 浙江文艺出版社,5618,绿山墙的安妮,"[加拿大]
            露西·莫德·蒙哥玛利"
8.4, 新世界出版社,3095,孤城闭,米兰Lady
9.2, 哈尔滨出版社,43096,撒哈拉的故事,三毛
8.8, 浙江文艺出版社,683,庆熹纪事,
8.6, 译林出版社,7597,少年Pi的奇幻漂流,"[加拿大]
            扬·马特尔"
8.7, 文汇出版社,47,回到故乡的陌生人,读客
7.0, 北京联合出版公司,907,十二个明天,湛庐文化
7.9, 江苏人民出版社,4762,我们,"[俄]
            尤金·扎米亚金"
8.7, 南海出版公司,2133,冷血,"[美]
            杜鲁门·卡波特"
6.6, 新世界出版社,45647,会有天使替我爱你,明晓溪
9.2, 上海译文出版社,1893,杜撰集,博尔赫斯全集
6.2, 百花洲文艺出版社,251,开到荼蘼婚事了,
8.2, 新星出版社,62,日本未来时,幻象文库
8.4, 上海译文出版社,7310,城堡,"[奥地利]
            弗朗茨·卡夫卡"
7.8, 百花洲文艺出版社,61,以你为名的小时光,
7.1, 南海出版社,21769,变身,"[日]
            东野圭吾"
8.5, 人民文学出版社,9910,龙文身的女孩,"[瑞典]
            斯蒂格·拉森"
9.3, 江苏凤凰文艺出版社,123,棠棣王朝,华文天下
7.8, 长江文艺出版社,11671,我不是潘金莲,刘震云
9.0, 南海出版公司,42361,嫌疑人X的献身,新经典文化
